id,created_at,plate_name,plate_description,image_url
1,2024-05-29 12:37:45.016087+00,Acarajé,"Bolinho frito feito de massa de feijão-fradinho, temperado com cebola e sal, e frito no azeite de dendê. É servido com vatapá, caruru, camarão seco e pimenta.",https://static.itdg.com.br/images/1200-630/8f1e96ad0463f5ba7077df25e10ff971/329858-original.jpg
3,2024-05-29 13:35:42.120314+00,Baião de Dois,"Prato feito com arroz e feijão cozidos juntos, geralmente acompanhados de carne-seca, queijo coalho e temperos como coentro e cebolinha.",https://conteudo.imguol.com.br/2013/08/05/baiao-de-dois-1375729535610_v2_1x1.jpg
4,2024-05-29 13:36:27.469025+00,Carne de Sol,"Carne bovina que passa por um processo de salga e secagem ao sol. É servida geralmente com macaxeira (mandioca), arroz ou farofa.",https://img.cybercook.com.br/receitas/767/carne-de-sol-como-fazer-2.jpeg
5,2024-05-29 13:36:45.439969+00,Tapioca,"Massa feita da fécula da mandioca, que é hidratada e depois aquecida em uma chapa até formar um disco. Pode ser recheada com ingredientes doces ou salgados.",https://conteudo.imguol.com.br/c/entretenimento/3a/2021/11/25/tapioca-1637858766065_v2_1x1.jpg
6,2024-05-29 13:37:02.272755+00,Cuscuz Nordestino,"Feito de farinha de milho cozida no vapor, geralmente acompanhado de carne de sol, leite de coco, ovo ou manteiga.",https://assets.unileversolutions.com/recipes-v2/53028.jpg
7,2024-05-29 13:37:24.3569+00,Vatapá,"Prato cremoso feito com pão, leite de coco, azeite de dendê, amendoim, castanha-de-caju, camarão e temperos como gengibre e coentro.",https://acozinhabrasileira.com.br/wp-content/uploads/2021/09/receita-de-vatapa.jpg
8,2024-05-29 13:37:38.976992+00,Escondidinho de Carne de Sol,"Purê de macaxeira (mandioca) com carne de sol desfiada, coberto com queijo coalho e gratinado.",https://i.panelinha.com.br/i1/228-bk-1162-escondidinho.webp
9,2024-05-29 13:37:55.798548+00,Feijão Verde com Queijo Coalho,"Feijão verde cozido e temperado, servido com pedaços de queijo coalho.",https://imagem.band.com.br/74/f_181974.jpg
10,2024-05-29 13:38:09.236993+00,Cartola,"Sobremesa feita com banana frita coberta com queijo manteiga derretido, açúcar e canela.",https://cdn.casaeculinaria.com/wp-content/uploads/2023/04/12121046/Cartola.jpg
11,2024-05-29 13:38:28.281551+00,Caruru,"Prato feito com quiabo, camarão seco, castanha-de-caju, amendoim e azeite de dendê.",https://img.cybercook.com.br/imagens/receitas/474/caruru-da-bahia-2.jpeg
